Livebiomass,Totalbiomass,ClGreen,GNDVI,MSAVI2,NDRE,NDVI,RVI,SFDVI,PreAccmm,GDD
58.8,75.28,2.716,0.575,0.833,0.282,0.666,5.061,0.081,256.286,1264
496.4,589.04,4.531,0.692,0.955,0.387,0.811,10.015,0.095,269.494,1617.5
388,562.8,3.108,0.607,0.93,0.334,0.76,7.403,0.095,256.286,1264
286.48,328.64,3.505,0.636,1.008,0.356,0.777,8.226,0.105,256.286,1264
249.52,354.72,3.298,0.622,0.824,0.295,0.68,5.308,0.076,269.494,1617.5
654.64,802.16,2.917,0.591,0.857,0.314,0.695,5.821,0.086,256.286,1264
36.56,60.96,1.809,0.475,0.421,0.168,0.377,2.22,0.023,269.494,1617.5
481.44,608.24,3.186,0.609,0.72,0.318,0.707,5.986,0.068,287.782,1966.7
454.16,509.6,4.197,0.676,1.098,0.4,0.814,10.234,0.118,192.786,993.8
46.56,146.72,2.877,0.587,0.734,0.32,0.573,3.805,0.076,64.262,415.6
630.56,762.56,3.314,0.62,0.956,0.378,0.77,8.129,0.104,256.286,1264
65.76,79.28,2.954,0.593,0.663,0.28,0.621,4.465,0.058,269.494,1617.5
14.4,33.84,1.398,0.411,0.308,0.122,0.278,1.772,0.008,295.402,2343.1
488.48,724.08,2.725,0.576,0.471,0.235,0.572,3.694,0.035,295.402,2343.1
440.4,540.88,4.671,0.699,1.238,0.41,0.803,9.18,0.141,287.782,1966.7
16.8,40.72,1.77,0.469,0.361,0.156,0.355,2.105,0.017,295.402,2343.1
266.64,279.04,3.32,0.621,0.953,0.337,0.763,7.895,0.096,256.286,1264
155.84,168.56,3.02,0.601,0.805,0.32,0.694,5.557,0.08,256.286,1264
170.16,213.44,2.313,0.534,0.673,0.243,0.588,3.98,0.06,192.786,993.8
174.24,256,5.162,0.72,1.125,0.451,0.819,10.244,0.126,64.262,415.6
